Validation_Set,Bin,N,Predicted,Observed
MIMIC-III,"[0.0103,0.0326]",116,0.0233747056717503,0.0172413793103448
MIMIC-III,"(0.0326,0.0518]",116,0.0425448827445507,0.0603448275862069
MIMIC-III,"(0.0518,0.0875]",115,0.0690813997193523,0.104347826086957
MIMIC-III,"(0.0875,0.138]",116,0.111503263550072,0.146551724137931
MIMIC-III,"(0.138,0.212]",116,0.170937338651254,0.163793103448276
MIMIC-III,"(0.212,0.314]",115,0.259375181275865,0.28695652173913
MIMIC-III,"(0.314,0.457]",116,0.379649446956043,0.482758620689655
MIMIC-III,"(0.457,0.606]",115,0.531171504829241,0.443478260869565
MIMIC-III,"(0.606,0.792]",116,0.692050014076562,0.698275862068966
MIMIC-III,"(0.792,0.962]",116,0.88696563089716,0.870689655172414
MIMIC-IV temporal,"[0.00919,0.0386]",121,0.0255724229611272,0.0165289256198347
MIMIC-IV temporal,"(0.0386,0.072]",120,0.05269254349793,0.0416666666666667
MIMIC-IV temporal,"(0.072,0.112]",121,0.0905801155104125,0.15702479338843
MIMIC-IV temporal,"(0.112,0.179]",120,0.142313728357355,0.133333333333333
MIMIC-IV temporal,"(0.179,0.255]",121,0.214861224998127,0.165289256198347
MIMIC-IV temporal,"(0.255,0.376]",120,0.315515813976526,0.375
MIMIC-IV temporal,"(0.376,0.52]",120,0.441096725563208,0.358333333333333
MIMIC-IV temporal,"(0.52,0.658]",121,0.584787572710967,0.537190082644628
MIMIC-IV temporal,"(0.658,0.821]",120,0.732192699114482,0.608333333333333
MIMIC-IV temporal,"(0.821,0.959]",121,0.896606926583062,0.867768595041322
NWICU,"[0.0109,0.0642]",65,0.0393485176735199,0
NWICU,"(0.0642,0.1]",64,0.0830176922027022,0.03125
NWICU,"(0.1,0.138]",64,0.116585144773126,0.0625
NWICU,"(0.138,0.192]",64,0.16254269471392,0.09375
NWICU,"(0.192,0.267]",64,0.22488967096433,0.109375
NWICU,"(0.267,0.367]",64,0.315409420989454,0.203125
NWICU,"(0.367,0.489]",64,0.430978463497013,0.328125
NWICU,"(0.489,0.64]",64,0.561187117826194,0.375
NWICU,"(0.64,0.821]",64,0.733500579372048,0.53125
NWICU,"(0.821,0.941]",64,0.886996812187135,0.828125
eICU,"[0.00856,0.0475]",208,0.0303265788690903,0.0144230769230769
eICU,"(0.0475,0.0937]",208,0.0712702558375895,0.0384615384615385
eICU,"(0.0937,0.152]",207,0.122407950856835,0.0628019323671498
eICU,"(0.152,0.243]",208,0.198624822167823,0.125
eICU,"(0.243,0.384]",208,0.311198718057802,0.158653846153846
eICU,"(0.384,0.541]",207,0.459155349627785,0.289855072463768
eICU,"(0.541,0.664]",208,0.602968593629507,0.384615384615385
eICU,"(0.664,0.769]",207,0.713047512775458,0.545893719806763
eICU,"(0.769,0.908]",208,0.847568145738198,0.711538461538462
eICU,"(0.908,0.964]",208,0.932552694987792,0.846153846153846
