Feature,Type,Forced
Age,Numeric,FALSE
Gender,Categorical,FALSE
Race,Categorical,FALSE
ICU_Type,Categorical,FALSE
SOFA,Numeric,FALSE
OASIS,Numeric,FALSE
Charlson,Numeric,FALSE
Hypertension,Categorical,FALSE
Diabetes,Categorical,FALSE
COPD,Categorical,FALSE
HF,Categorical,FALSE
Stroke,Categorical,FALSE
Malignancy,Categorical,FALSE
Lung_Infection,Categorical,FALSE
GI_Infection,Categorical,FALSE
GU_Infection,Categorical,FALSE
Other_Infection,Categorical,FALSE
MAP,Numeric,FALSE
Heart_Rate,Numeric,FALSE
Resp_Rate,Numeric,FALSE
Temperature,Numeric,FALSE
Hb,Numeric,FALSE
WBC,Numeric,FALSE
Plt,Numeric,FALSE
Cre,Numeric,FALSE
AST,Numeric,FALSE
TBil,Numeric,FALSE
Na,Numeric,FALSE
K,Numeric,FALSE
Ca,Numeric,FALSE
Cl,Numeric,FALSE
Plt_S,Numeric,TRUE
INR_S,Numeric,TRUE
SOFA_S,Numeric,TRUE
