Validation_Set,Threshold,Strategy,Net_Benefit
MIMIC-III,0.05,XGBoost,0.295000682345449
MIMIC-III,0.05,Treat all,0.292180321157258
MIMIC-III,0.05,Treat none,0
MIMIC-III,0.06,XGBoost,0.287905257544273
MIMIC-III,0.06,Treat all,0.284650324573824
MIMIC-III,0.06,Treat none,0
MIMIC-III,0.07,XGBoost,0.282014107675579
MIMIC-III,0.07,Treat all,0.276958392579995
MIMIC-III,0.07,Treat none,0
MIMIC-III,0.08,XGBoost,0.275600315658938
MIMIC-III,0.08,Treat all,0.269099244673255
MIMIC-III,0.08,Treat none,0
MIMIC-III,0.09,XGBoost,0.268874599903122
MIMIC-III,0.09,Treat all,0.261067368241093
MIMIC-III,0.09,Treat none,0
MIMIC-III,0.1,XGBoost,0.260827811389609
MIMIC-III,0.1,Treat all,0.252857005665994
MIMIC-III,0.1,Treat none,0
MIMIC-III,0.11,XGBoost,0.25546502481233
MIMIC-III,0.11,Treat all,0.244462140561118
MIMIC-III,0.11,Treat none,0
MIMIC-III,0.12,XGBoost,0.251237526518425
MIMIC-III,0.12,Treat all,0.235876483067494
MIMIC-III,0.12,Treat none,0
MIMIC-III,0.13,XGBoost,0.247548654367717
MIMIC-III,0.13,Treat all,0.227093454137236
MIMIC-III,0.13,Treat none,0
MIMIC-III,0.14,XGBoost,0.245482502864264
MIMIC-III,0.14,Treat all,0.218106168720227
MIMIC-III,0.14,Treat none,0
MIMIC-III,0.15,XGBoost,0.243225380039656
MIMIC-III,0.15,Treat all,0.208907417763994
MIMIC-III,0.15,Treat none,0
MIMIC-III,0.16,XGBoost,0.240646993455982
MIMIC-III,0.16,Treat all,0.199489648927851
MIMIC-III,0.16,Treat none,0
MIMIC-III,0.17,XGBoost,0.234684633087232
MIMIC-III,0.17,Treat all,0.189844945902886
MIMIC-III,0.17,Treat none,0
MIMIC-III,0.18,XGBoost,0.232497839239412
MIMIC-III,0.18,Treat all,0.179965006218774
MIMIC-III,0.18,Treat none,0
MIMIC-III,0.19,XGBoost,0.228144306795992
MIMIC-III,0.19,Treat all,0.16984111740666
MIMIC-III,0.19,Treat none,0
MIMIC-III,0.2,XGBoost,0.223638720829732
MIMIC-III,0.2,Treat all,0.159464131374244
MIMIC-III,0.2,Treat none,0
MIMIC-III,0.21,XGBoost,0.21903000995591
MIMIC-III,0.21,Treat all,0.148824436834677
MIMIC-III,0.21,Treat none,0
MIMIC-III,0.22,XGBoost,0.212175608891253
MIMIC-III,0.22,Treat all,0.137911929614609
MIMIC-III,0.22,Treat none,0
MIMIC-III,0.23,XGBoost,0.209431018419782
MIMIC-III,0.23,Treat all,0.126715980648565
MIMIC-III,0.23,Treat none,0
MIMIC-III,0.24,XGBoost,0.206614201883273
MIMIC-III,0.24,Treat all,0.115225401446572
MIMIC-III,0.24,Treat none,0
MIMIC-III,0.25,XGBoost,0.204552002304811
MIMIC-III,0.25,Treat all,0.103428406799193
MIMIC-III,0.25,Treat none,0
MIMIC-III,0.26,XGBoost,0.198626457053423
MIMIC-III,0.26,Treat all,0.0913125744586418
MIMIC-III,0.26,Treat none,0
MIMIC-III,0.27,XGBoost,0.194077740022022
MIMIC-III,0.27,Treat all,0.0788648015060205
MIMIC-III,0.27,Treat none,0
MIMIC-III,0.28,XGBoost,0.191011235955056
MIMIC-III,0.28,Treat all,0.066071257082493
MIMIC-III,0.28,Treat none,0
MIMIC-III,0.29,XGBoost,0.188759175624186
MIMIC-III,0.29,Treat all,0.0529173311259084
MIMIC-III,0.29,Treat none,0
MIMIC-III,0.3,XGBoost,0.184590690208668
MIMIC-III,0.3,Treat all,0.0393875787134214
MIMIC-III,0.3,Treat none,0
MIMIC-III,0.31,XGBoost,0.182305562862475
MIMIC-III,0.31,Treat all,0.0254656595643405
MIMIC-III,0.31,Treat none,0
MIMIC-III,0.32,XGBoost,0.179317708068534
MIMIC-III,0.32,Treat all,0.0111342722049925
MIMIC-III,0.32,Treat none,0
MIMIC-III,0.33,XGBoost,0.177788671164489
MIMIC-III,0.33,Treat all,-0.00362491776209717
MIMIC-III,0.33,Treat none,0
MIMIC-III,0.34,XGBoost,0.174720410675467
MIMIC-III,0.34,Treat all,-0.0188313559100076
MIMIC-III,0.34,Treat none,0
MIMIC-III,0.35,XGBoost,0.171797087959577
MIMIC-III,0.35,Treat all,-0.0345056844624693
MIMIC-III,0.35,Treat none,0
MIMIC-III,0.36,XGBoost,0.167891097666379
MIMIC-III,0.36,Treat all,-0.0506698357821954
MIMIC-III,0.36,Treat none,0
MIMIC-III,0.37,XGBoost,0.162448038852533
MIMIC-III,0.37,Treat all,-0.0673471347628651
MIMIC-III,0.37,Treat none,0
MIMIC-III,0.38,XGBoost,0.156801516714529
MIMIC-III,0.38,Treat all,-0.0845624111300082
MIMIC-III,0.38,Treat none,0
MIMIC-III,0.39,XGBoost,0.152712640095215
MIMIC-III,0.39,Treat all,-0.102342122787877
MIMIC-III,0.39,Treat none,0
MIMIC-III,0.4,XGBoost,0.146067415730337
MIMIC-III,0.4,Treat all,-0.120714491501008
MIMIC-III,0.4,Treat none,0
MIMIC-III,0.41,XGBoost,0.13972430159823
MIMIC-III,0.41,Treat all,-0.139709652373907
MIMIC-III,0.41,Treat none,0
MIMIC-III,0.42,XGBoost,0.135248710994546
MIMIC-III,0.42,Treat all,-0.159359818794147
MIMIC-III,0.42,Treat none,0
MIMIC-III,0.43,XGBoost,0.130691898285038
MIMIC-III,0.43,Treat all,-0.179699464737904
MIMIC-III,0.43,Treat none,0
MIMIC-III,0.44,XGBoost,0.126620570440795
MIMIC-III,0.44,Treat all,-0.200765526608223
MIMIC-III,0.44,Treat none,0
MIMIC-III,0.45,XGBoost,0.122809774495168
MIMIC-III,0.45,Treat all,-0.222597627092009
MIMIC-III,0.45,Treat none,0
MIMIC-III,0.46,XGBoost,0.118793815423029
MIMIC-III,0.46,Treat all,-0.245238323890009
MIMIC-III,0.46,Treat none,0
MIMIC-III,0.47,XGBoost,0.111022325141469
MIMIC-III,0.47,Treat all,-0.268733386604915
MIMIC-III,0.47,Treat none,0
MIMIC-III,0.48,XGBoost,0.113888704208497
MIMIC-III,0.48,Treat all,-0.293132105578087
MIMIC-III,0.48,Treat none,0
MIMIC-III,0.49,XGBoost,0.112223973426882
MIMIC-III,0.49,Treat all,-0.31848763706001
MIMIC-III,0.49,Treat none,0
MIMIC-III,0.5,XGBoost,0.111495246326707
MIMIC-III,0.5,Treat all,-0.34485738980121
MIMIC-III,0.5,Treat none,0
MIMIC-III,0.51,XGBoost,0.109219833136366
MIMIC-III,0.51,Treat all,-0.372303458980827
MIMIC-III,0.51,Treat none,0
MIMIC-III,0.52,XGBoost,0.107101699798329
MIMIC-III,0.52,Treat all,-0.400893114376261
MIMIC-III,0.52,Treat none,0
MIMIC-III,0.53,XGBoost,0.111752698652053
MIMIC-III,0.53,Treat all,-0.430699350852351
MIMIC-III,0.53,Treat none,0
MIMIC-III,0.54,XGBoost,0.105858479576115
MIMIC-III,0.54,Treat all,-0.461801510653489
MIMIC-III,0.54,Treat none,0
MIMIC-III,0.55,XGBoost,0.103236339191395
MIMIC-III,0.55,Treat all,-0.494285988668011
MIMIC-III,0.55,Treat none,0
MIMIC-III,0.56,XGBoost,0.101123595505618
MIMIC-III,0.56,Treat all,-0.528247033865012
MIMIC-III,0.56,Treat none,0
MIMIC-III,0.57,XGBoost,0.101244196096561
MIMIC-III,0.57,Treat all,-0.563787662559547
MIMIC-III,0.57,Treat none,0
MIMIC-III,0.58,XGBoost,0.0975840638761987
MIMIC-III,0.58,Treat all,-0.601020702144298
MIMIC-III,0.58,Treat none,0
MIMIC-III,0.59,XGBoost,0.094946982313384
MIMIC-III,0.59,Treat all,-0.640069987562452
MIMIC-III,0.59,Treat none,0
MIMIC-III,0.6,XGBoost,0.0924805531547104
MIMIC-III,0.6,Treat all,-0.681071737251513
MIMIC-III,0.6,Treat none,0
MIMIC-III,0.61,XGBoost,0.0898211555082773
MIMIC-III,0.61,Treat all,-0.724176140770783
MIMIC-III,0.61,Treat none,0
MIMIC-III,0.62,XGBoost,0.0837920211072192
MIMIC-III,0.62,Treat all,-0.769549197106856
MIMIC-III,0.62,Treat none,0
MIMIC-III,0.63,XGBoost,0.0746571982527039
MIMIC-III,0.63,Treat all,-0.817374851082717
MIMIC-III,0.63,Treat none,0
MIMIC-III,0.64,XGBoost,0.0720253529242293
MIMIC-III,0.64,Treat all,-0.867857485835014
MIMIC-III,0.64,Treat none,0
MIMIC-III,0.65,XGBoost,0.0648228176318064
MIMIC-III,0.65,Treat all,-0.921224842573158
MIMIC-III,0.65,Treat none,0
MIMIC-III,0.66,XGBoost,0.067619096039453
MIMIC-III,0.66,Treat all,-0.977731455590015
MIMIC-III,0.66,Treat none,0
MIMIC-III,0.67,XGBoost,0.0664728529897069
MIMIC-III,0.67,Treat all,-1.03766271182002
MIMIC-III,0.67,Treat none,0
MIMIC-III,0.68,XGBoost,0.0592048401037165
MIMIC-III,0.68,Treat all,-1.10133967156439
MIMIC-III,0.68,Treat none,0
MIMIC-III,0.69,XGBoost,0.0601109655114729
MIMIC-III,0.69,Treat all,-1.16912482226002
MIMIC-III,0.69,Treat none,0
MIMIC-III,0.7,XGBoost,0.0636704119850187
MIMIC-III,0.7,Treat all,-1.24142898300202
MIMIC-III,0.7,Treat none,0
MIMIC-III,0.71,XGBoost,0.0633922451047596
MIMIC-III,0.71,Treat all,-1.31871963758829
MIMIC-III,0.71,Treat none,0
MIMIC-III,0.72,XGBoost,0.0598839362884307
MIMIC-III,0.72,Treat all,-1.40153105321645
MIMIC-III,0.72,Treat none,0
MIMIC-III,0.73,XGBoost,0.0551554147059765
MIMIC-III,0.73,Treat all,-1.49047664778002
