Outer_Fold,Feature,Boruta,LASSO,Selected,Forced,Fallback,Lambda_1se
1,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0162147849511904
1,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,ICU_Type,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,OASIS,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Lung_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,GI_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Other_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0162147849511904
1,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Cl,TRUE,FALSE,FALSE,FALSE,FALSE,0.0162147849511904
1,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0162147849511904
1,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0162147849511904
1,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0162147849511904
2,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0179112016298713
2,Gender,FALSE,FALSE,FALSE,FALSE,FALSE,0.0179112016298713
2,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0179112016298713
2,ICU_Type,TRUE,TRUE,TRUE,FALSE,FALSE,0.0179112016298713
2,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0179112016298713
2,OASIS,TRUE,FALSE,FALSE,FALSE,FALSE,0.0179112016298713
2,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0179112016298713
2,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0179112016298713
