Model,penalty,mixture,.metric,.estimator,mean,n,std_err,.config,mtry,min_n,trees,tree_depth,learn_rate,loss_reduction,sample_size,cost,rbf_sigma,neighbors,weight_func,dist_power
ElasticNet,4.32876128108306e-07,0.05,pr_auc,binary,0.758007246062296,10,0.0107856897015572,Preprocessor1_Model01,,,,,,,,,,,"",
ElasticNet,4.32876128108306e-07,0.05,roc_auc,binary,0.868907239974298,10,0.0052322848319038,Preprocessor1_Model01,,,,,,,,,,,"",
ElasticNet,0.0151991108295293,0.136363636363636,pr_auc,binary,0.758432806192656,10,0.0107478501482293,Preprocessor1_Model02,,,,,,,,,,,"",
ElasticNet,0.0151991108295293,0.136363636363636,roc_auc,binary,0.868593060324857,10,0.00507191249051463,Preprocessor1_Model02,,,,,,,,,,,"",
ElasticNet,8.11130830789686e-10,0.222727272727273,pr_auc,binary,0.757958164842682,10,0.0107679670180147,Preprocessor1_Model03,,,,,,,,,,,"",
ElasticNet,8.11130830789686e-10,0.222727272727273,roc_auc,binary,0.868895337641117,10,0.00522345864094963,Preprocessor1_Model03,,,,,,,,,,,"",
ElasticNet,2.8480358684358e-05,0.309090909090909,pr_auc,binary,0.757835393205388,10,0.0107435728166042,Preprocessor1_Model04,,,,,,,,,,,"",
ElasticNet,2.8480358684358e-05,0.309090909090909,roc_auc,binary,0.86887837788883,10,0.00523247064457355,Preprocessor1_Model04,,,,,,,,,,,"",
ElasticNet,1,0.395454545454545,pr_auc,binary,0.659278502143682,10,3.05189695619212e-05,Preprocessor1_Model05,,,,,,,,,,,"",
ElasticNet,1,0.395454545454545,roc_auc,binary,0.5,10,0,Preprocessor1_Model05,,,,,,,,,,,"",
ElasticNet,5.3366992312063e-08,0.481818181818182,pr_auc,binary,0.757898266980799,10,0.0107462789177107,Preprocessor1_Model06,,,,,,,,,,,"",
ElasticNet,5.3366992312063e-08,0.481818181818182,roc_auc,binary,0.868880050984123,10,0.00522697658453901,Preprocessor1_Model06,,,,,,,,,,,"",
ElasticNet,0.00187381742286038,0.568181818181818,pr_auc,binary,0.757931027052493,10,0.0107335037752097,Preprocessor1_Model07,,,,,,,,,,,"",
ElasticNet,0.00187381742286038,0.568181818181818,roc_auc,binary,0.868878315922338,10,0.00520756176043112,Preprocessor1_Model07,,,,,,,,,,,"",
ElasticNet,1e-10,0.654545454545455,pr_auc,binary,0.757896374580336,10,0.0107334182151912,Preprocessor1_Model08,,,,,,,,,,,"",
ElasticNet,1e-10,0.654545454545455,roc_auc,binary,0.868908874936365,10,0.00522393870498684,Preprocessor1_Model08,,,,,,,,,,,"",
