Cohort,Variable,Missing_N,Missing_Pct
MIMIC-IV,Age,0,0
MIMIC-IV,Gender,0,0
MIMIC-IV,Race,0,0
MIMIC-IV,ICU_Type,0,0
MIMIC-IV,SOFA,0,0
MIMIC-IV,OASIS,0,0
MIMIC-IV,Charlson,0,0
MIMIC-IV,Hypertension,0,0
MIMIC-IV,Diabetes,0,0
MIMIC-IV,COPD,0,0
MIMIC-IV,HF,0,0
MIMIC-IV,Stroke,0,0
MIMIC-IV,Malignancy,0,0
MIMIC-IV,Lung_Infection,0,0
MIMIC-IV,GI_Infection,0,0
MIMIC-IV,GU_Infection,0,0
MIMIC-IV,Other_Infection,0,0
MIMIC-IV,MAP,6,0.0935162094763092
MIMIC-IV,Heart_Rate,5,0.077930174563591
MIMIC-IV,Resp_Rate,7,0.109102244389027
MIMIC-IV,Temperature,369,5.75124688279302
MIMIC-IV,Hb,2,0.0311720698254364
MIMIC-IV,WBC,2,0.0311720698254364
MIMIC-IV,Plt,0,0
MIMIC-IV,Cre,1,0.0155860349127182
MIMIC-IV,AST,876,13.6533665835411
MIMIC-IV,TBil,835,13.0143391521197
MIMIC-IV,Na,1,0.0155860349127182
MIMIC-IV,K,3,0.0467581047381546
MIMIC-IV,Ca,118,1.83915211970075
MIMIC-IV,Cl,0,0
MIMIC-IV,Plt_S,0,0
MIMIC-IV,INR_S,0,0
MIMIC-IV,SOFA_S,0,0
MIMIC-III,Age,0,0
MIMIC-III,Gender,0,0
MIMIC-III,Race,0,0
MIMIC-III,ICU_Type,0,0
MIMIC-III,SOFA,0,0
MIMIC-III,OASIS,0,0
MIMIC-III,Charlson,0,0
MIMIC-III,Hypertension,0,0
MIMIC-III,Diabetes,0,0
MIMIC-III,COPD,0,0
MIMIC-III,HF,0,0
MIMIC-III,Stroke,0,0
MIMIC-III,Malignancy,0,0
MIMIC-III,Lung_Infection,0,0
MIMIC-III,GI_Infection,0,0
MIMIC-III,GU_Infection,0,0
MIMIC-III,Other_Infection,0,0
MIMIC-III,MAP,2,0.17286084701815
MIMIC-III,Heart_Rate,2,0.17286084701815
MIMIC-III,Resp_Rate,5,0.432152117545376
MIMIC-III,Temperature,2,0.17286084701815
MIMIC-III,Hb,0,0
MIMIC-III,WBC,0,0
MIMIC-III,Plt,0,0
MIMIC-III,Cre,0,0
MIMIC-III,AST,195,16.8539325842697
MIMIC-III,TBil,180,15.5574762316335
MIMIC-III,Na,0,0
MIMIC-III,K,0,0
MIMIC-III,Ca,18,1.55574762316335
MIMIC-III,Cl,0,0
MIMIC-III,Plt_S,0,0
MIMIC-III,INR_S,0,0
MIMIC-III,SOFA_S,0,0
eICU,Age,0,0
eICU,Gender,0,0
eICU,Race,0,0
eICU,ICU_Type,0,0
eICU,SOFA,0,0
eICU,OASIS,0,0
eICU,Charlson,0,0
eICU,Hypertension,0,0
eICU,Diabetes,0,0
eICU,COPD,4,0.192585459797785
eICU,HF,0,0
eICU,Stroke,0,0
eICU,Malignancy,5,0.240731824747232
eICU,Lung_Infection,0,0
eICU,GI_Infection,0,0
eICU,GU_Infection,0,0
eICU,Other_Infection,0,0
eICU,MAP,4,0.192585459797785
eICU,Heart_Rate,14,0.674049109292248
eICU,Resp_Rate,148,7.12566201251806
eICU,Temperature,83,3.99614829080404
eICU,Hb,1,0.0481463649494463
eICU,WBC,1,0.0481463649494463
eICU,Plt,0,0
eICU,Cre,0,0
eICU,AST,222,10.6884930187771
eICU,TBil,243,11.6995666827155
eICU,Na,0,0
eICU,K,0,0
eICU,Ca,17,0.818488204140587
eICU,Cl,0,0
eICU,Plt_S,0,0
eICU,INR_S,0,0
eICU,SOFA_S,0,0
NWICU,Age,0,0
NWICU,Gender,0,0
NWICU,Race,0,0
NWICU,ICU_Type,1,0.15600624024961
NWICU,SOFA,0,0
NWICU,OASIS,0,0
NWICU,Charlson,0,0
NWICU,Hypertension,0,0
NWICU,Diabetes,0,0
NWICU,COPD,0,0
NWICU,HF,0,0
NWICU,Stroke,0,0
NWICU,Malignancy,0,0
NWICU,Lung_Infection,0,0
NWICU,GI_Infection,0,0
NWICU,GU_Infection,0,0
NWICU,Other_Infection,0,0
NWICU,MAP,0,0
NWICU,Heart_Rate,0,0
NWICU,Resp_Rate,0,0
NWICU,Temperature,0,0
NWICU,Hb,6,0.93603744149766
NWICU,WBC,0,0
NWICU,Plt,0,0
NWICU,Cre,0,0
NWICU,AST,54,8.42433697347894
NWICU,TBil,54,8.42433697347894
NWICU,Na,5,0.78003120124805
NWICU,K,5,0.78003120124805
NWICU,Ca,0,0
NWICU,Cl,7,1.09204368174727
NWICU,Plt_S,0,0
NWICU,INR_S,0,0
NWICU,SOFA_S,0,0
