penalty,mixture,.config,Model,Outer_Fold,mtry,min_n,trees,tree_depth,learn_rate,loss_reduction,sample_size,cost,rbf_sigma,neighbors,weight_func,dist_power
2.8480358684358e-05,0.309090909090909,Preprocessor1_Model04,ElasticNet,1,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,1,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,1,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,1,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model04,KNN,1,,,,,,,,,,15,epanechnikov,1.13636363636364
4.32876128108306e-07,0.05,Preprocessor1_Model01,ElasticNet,2,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,2,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,2,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,2,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model04,KNN,2,,,,,,,,,,15,epanechnikov,1.13636363636364
0.00187381742286038,0.568181818181818,Preprocessor1_Model07,ElasticNet,3,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,3,2,36,,,,,,,,,"",
,,Preprocessor1_Model01,XGBoost,3,1,2,1273,11,0.00480638086306439,0.00208056753821717,0.754545454545455,,,,"",
,,Preprocessor1_Model11,SVM_RBF,3,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model08,KNN,3,,,,,,,,,,12,rectangular,0.272727272727273
4.32876128108306e-07,0.05,Preprocessor1_Model01,ElasticNet,4,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,4,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,4,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,4,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model06,KNN,4,,,,,,,,,,11,inv,2
0.00187381742286038,0.568181818181818,Preprocessor1_Model07,ElasticNet,5,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,5,3,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,5,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,5,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model04,KNN,5,,,,,,,,,,15,epanechnikov,1.13636363636364
0.0151991108295293,0.136363636363636,Preprocessor1_Model02,ElasticNet,6,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,6,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,6,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,6,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model04,KNN,6,,,,,,,,,,15,epanechnikov,1.13636363636364
8.11130830789686e-10,0.222727272727273,Preprocessor1_Model03,ElasticNet,7,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,7,2,36,,,,,,,,,"",
,,Preprocessor1_Model01,XGBoost,7,1,2,1273,11,0.00480638086306439,0.00208056753821717,0.754545454545455,,,,"",
,,Preprocessor1_Model11,SVM_RBF,7,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model08,KNN,7,,,,,,,,,,12,rectangular,0.272727272727273
3.51119173421513e-06,0.740909090909091,Preprocessor1_Model09,ElasticNet,8,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,8,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,8,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,8,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model04,KNN,8,,,,,,,,,,15,epanechnikov,1.13636363636364
6.57933224657568e-09,0.913636363636364,Preprocessor1_Model11,ElasticNet,9,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,9,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,9,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,9,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model06,KNN,9,,,,,,,,,,11,inv,2
0.000231012970008316,1,Preprocessor1_Model12,ElasticNet,10,,,,,,,,,,,"",
,,Preprocessor1_Model03,RandomForest,10,4,36,,,,,,,,,"",
,,Preprocessor1_Model02,XGBoost,10,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
,,Preprocessor1_Model11,SVM_RBF,10,,,,,,,,12.4352502541673,0.0151991108295293,,"",
,,Preprocessor1_Model06,KNN,10,,,,,,,,,,11,inv,2
