Model,Validation_Set,AUROC,AUPRC,Calibration_Intercept,Calibration_Slope,Brier,ECE,MCE,Sensitivity,Specificity,PPV,NPV,Accuracy,F1,MCC
ElasticNet,Development nested OOF,0.865807781958586,0.752600256037526,0.00266111623156456,1.00034215951126,0.136013896599511,0.0107850041468533,0.0277751251429629,0.837349397590361,0.737538721486905,0.598621877691645,0.906542056074766,0.769334100940319,0.698141637368157,0.538899567367283
ElasticNet,MIMIC-III,0.842485637348997,0.732318727737173,0.127871170548586,0.8925885265877,0.147678205201394,0.0281050637709494,0.0537462379963703,0.781002638522427,0.730077120822622,0.58498023715415,0.872503840245776,0.74675885911841,0.668926553672316,0.483539917878293
ElasticNet,MIMIC-IV temporal,0.82770215219544,0.718994260675287,-0.158405901984788,0.845136927797687,0.155487211825821,0.0412794043554315,0.105743339370669,0.83206106870229,0.66871921182266,0.548657718120805,0.891625615763547,0.721991701244813,0.661274014155713,0.46955852825081
ElasticNet,NWICU,0.845758551925142,0.675319255794304,-0.642441431221446,1.06775052092768,0.140673885510851,0.0964151169602743,0.185777159756445,0.878048780487805,0.647798742138365,0.461538461538462,0.939209726443769,0.706708268330733,0.605042016806723,0.459056033450583
ElasticNet,eICU,0.864895960308804,0.745366223251968,-0.74658134985658,0.980772650179255,0.149922528608265,0.10540881954228,0.192615835721835,0.933333333333333,0.582921665490473,0.510356255178128,0.949425287356322,0.694270582571016,0.659882163899304,0.487200697557311
KNN,Development nested OOF,0.842417628836947,0.710464438731171,0.0980591427172888,0.450575054110845,0.147795206983224,0.0310412071783071,0.0600717058841646,0.863253012048193,0.658124471979724,0.541367585946354,0.911466458658346,0.723469583573211,0.665428372416996,0.485898626112674
KNN,MIMIC-III,0.804145668143064,0.679814165996394,0.144967046337413,0.228101197367608,0.162861289158013,0.0383172587150677,0.0720971985018727,0.836411609498681,0.615681233933162,0.51461038961039,0.88539741219963,0.687986171132239,0.637185929648241,0.42525364726856
KNN,MIMIC-IV temporal,0.802429210694544,0.677705666755832,-0.11601965851963,0.405248777036162,0.165715752697283,0.0472335607192254,0.190928270042194,0.872773536895674,0.550492610837438,0.484463276836158,0.899396378269618,0.655601659751037,0.623069936421435,0.403081626332413
KNN,NWICU,0.80525515160812,0.620383417432302,-0.596918019451729,0.471892923464751,0.154207822499723,0.0946436297451898,0.233333333333333,0.890243902439024,0.49895178197065,0.379220779220779,0.9296875,0.599063962558502,0.531876138433515,0.346735878084668
KNN,eICU,0.83391768781677,0.681497222208011,-0.442779024754774,0.34983802334236,0.156238274648456,0.0666424013801958,0.157407407407407,0.93030303030303,0.504587155963303,0.466565349544073,0.939553219448095,0.639865190178142,0.621457489878543,0.420258230276601
RandomForest,Development nested OOF,0.867638506716248,0.757115641055279,-0.0105504607237929,1.27652433784989,0.136176742595069,0.0350991913877653,0.0671008407364033,0.78855421686747,0.774148127288088,0.620085267645666,0.886774193548387,0.778737286509307,0.694245558207372,0.534051502171201
RandomForest,MIMIC-III,0.834759989418779,0.720977423844923,0.0450407936432308,1.08679999356707,0.149354012369252,0.0342257903820037,0.0773203916558709,0.757255936675462,0.776349614395887,0.622559652928417,0.867816091954023,0.77009507346586,0.683333333333333,0.511534182220521
RandomForest,MIMIC-IV temporal,0.827376251895862,0.720520561088198,-0.14841890631639,1.06479635931251,0.153874258256213,0.0412243972558661,0.122643132423751,0.7735368956743,0.710591133004926,0.564007421150278,0.866366366366366,0.731120331950207,0.652360515021459,0.456460308620197
RandomForest,NWICU,0.848059518331032,0.679867967464415,-0.65864624725578,1.35227623214625,0.142641022604471,0.107296670387751,0.199408036006513,0.871951219512195,0.656184486373166,0.465798045602606,0.937125748502994,0.711388455538222,0.607218683651805,0.461300815540108
RandomForest,eICU,0.856794123307885,0.732415432949702,-0.604615466099392,1.18380830978346,0.151120792696809,0.0969992569497235,0.170278788736957,0.893939393939394,0.618207480592802,0.521662245800177,0.92600422832981,0.705825710158883,0.658849804578448,0.478822499010354
SVM_RBF,Development nested OOF,0.861652241181001,0.754344973732539,-0.0175428814466965,1.01968532499908,0.137943631096958,0.0348438049016436,0.0658539291878138,0.816265060240964,0.752745705435089,0.606806986117331,0.897582269979852,0.772980234120131,0.696121243257128,0.535726531740433
SVM_RBF,MIMIC-III,0.828319688532263,0.725643674127845,0.0985671426267623,0.932705366836247,0.151505627093446,0.0366715637963111,0.193031525920997,0.786279683377309,0.758354755784062,0.613168724279835,0.879284649776453,0.767502160760588,0.689017341040462,0.517887118194951
SVM_RBF,MIMIC-IV temporal,0.823944897780118,0.714498176448271,-0.151484676713781,0.817600791446176,0.158016983806495,0.0545630560173162,0.149552718490371,0.798982188295165,0.683497536945813,0.549912434325744,0.875394321766562,0.721161825726141,0.651452282157676,0.452992148742721
SVM_RBF,NWICU,0.843086874264969,0.680234111347799,-0.592435131953461,0.929726089282897,0.137225129534789,0.0794649187250469,0.169013223706818,0.841463414634146,0.687631027253669,0.480836236933798,0.926553672316384,0.726989079563183,0.611973392461197,0.464271188709199
