Model,Validation_Set,Metric,Estimate,Lower,Upper
ElasticNet,Development nested OOF,AUROC,0.865807781958586,0.855392016396318,0.87562352415393
ElasticNet,Development nested OOF,AUPRC,0.752600256037526,0.732620359206107,0.774186956142075
ElasticNet,Development nested OOF,Calibration_Intercept,0.00266111623156456,,
ElasticNet,Development nested OOF,Calibration_Slope,1.00034215951126,,
ElasticNet,Development nested OOF,Brier,0.136013896599511,0.130642358624869,0.141491204909384
ElasticNet,Development nested OOF,ECE,0.0107850041468533,,
ElasticNet,Development nested OOF,MCE,0.0277751251429629,,
ElasticNet,Development nested OOF,Sensitivity,0.837349397590361,,
ElasticNet,Development nested OOF,Specificity,0.737538721486905,,
ElasticNet,Development nested OOF,PPV,0.598621877691645,,
ElasticNet,Development nested OOF,NPV,0.906542056074766,,
ElasticNet,Development nested OOF,Accuracy,0.769334100940319,,
ElasticNet,Development nested OOF,F1,0.698141637368157,,
ElasticNet,Development nested OOF,MCC,0.538899567367283,,
ElasticNet,MIMIC-III,AUROC,0.842485637348997,0.819868310695482,0.865839667104695
ElasticNet,MIMIC-III,AUPRC,0.732318727737173,0.686253320689266,0.77609473996498
ElasticNet,MIMIC-III,Calibration_Intercept,0.127871170548586,,
ElasticNet,MIMIC-III,Calibration_Slope,0.8925885265877,,
ElasticNet,MIMIC-III,Brier,0.147678205201394,0.135846505447721,0.15928139435871
ElasticNet,MIMIC-III,ECE,0.0281050637709494,,
ElasticNet,MIMIC-III,MCE,0.0537462379963703,,
ElasticNet,MIMIC-III,Sensitivity,0.781002638522427,,
ElasticNet,MIMIC-III,Specificity,0.730077120822622,,
ElasticNet,MIMIC-III,PPV,0.58498023715415,,
ElasticNet,MIMIC-III,NPV,0.872503840245776,,
ElasticNet,MIMIC-III,Accuracy,0.74675885911841,,
ElasticNet,MIMIC-III,F1,0.668926553672316,,
ElasticNet,MIMIC-III,MCC,0.483539917878293,,
ElasticNet,MIMIC-IV temporal,AUROC,0.82770215219544,0.803681714825523,0.849709029742991
ElasticNet,MIMIC-IV temporal,AUPRC,0.718994260675287,0.67813408577616,0.761335597726105
ElasticNet,MIMIC-IV temporal,Calibration_Intercept,-0.158405901984788,,
ElasticNet,MIMIC-IV temporal,Calibration_Slope,0.845136927797687,,
ElasticNet,MIMIC-IV temporal,Brier,0.155487211825821,0.143657724531438,0.16754560385324
ElasticNet,MIMIC-IV temporal,ECE,0.0412794043554315,,
ElasticNet,MIMIC-IV temporal,MCE,0.105743339370669,,
ElasticNet,MIMIC-IV temporal,Sensitivity,0.83206106870229,,
ElasticNet,MIMIC-IV temporal,Specificity,0.66871921182266,,
ElasticNet,MIMIC-IV temporal,PPV,0.548657718120805,,
ElasticNet,MIMIC-IV temporal,NPV,0.891625615763547,,
ElasticNet,MIMIC-IV temporal,Accuracy,0.721991701244813,,
ElasticNet,MIMIC-IV temporal,F1,0.661274014155713,,
ElasticNet,MIMIC-IV temporal,MCC,0.46955852825081,,
ElasticNet,NWICU,AUROC,0.845758551925142,0.810374975148089,0.877869424332614
ElasticNet,NWICU,AUPRC,0.675319255794304,0.595858009469332,0.745501057096203
ElasticNet,NWICU,Calibration_Intercept,-0.642441431221446,,
ElasticNet,NWICU,Calibration_Slope,1.06775052092768,,
ElasticNet,NWICU,Brier,0.140673885510851,0.126280257935355,0.156143863327418
ElasticNet,NWICU,ECE,0.0964151169602743,,
ElasticNet,NWICU,MCE,0.185777159756445,,
ElasticNet,NWICU,Sensitivity,0.878048780487805,,
ElasticNet,NWICU,Specificity,0.647798742138365,,
ElasticNet,NWICU,PPV,0.461538461538462,,
ElasticNet,NWICU,NPV,0.939209726443769,,
ElasticNet,NWICU,Accuracy,0.706708268330733,,
ElasticNet,NWICU,F1,0.605042016806723,,
ElasticNet,NWICU,MCC,0.459056033450583,,
ElasticNet,eICU,AUROC,0.864895960308804,0.848009339120629,0.881046381703819
ElasticNet,eICU,AUPRC,0.745366223251968,0.710388338575655,0.779541347807057
ElasticNet,eICU,Calibration_Intercept,-0.74658134985658,,
ElasticNet,eICU,Calibration_Slope,0.980772650179255,,
ElasticNet,eICU,Brier,0.149922528608265,0.140975536076023,0.158861909596805
ElasticNet,eICU,ECE,0.10540881954228,,
ElasticNet,eICU,MCE,0.192615835721835,,
ElasticNet,eICU,Sensitivity,0.933333333333333,,
ElasticNet,eICU,Specificity,0.582921665490473,,
ElasticNet,eICU,PPV,0.510356255178128,,
ElasticNet,eICU,NPV,0.949425287356322,,
ElasticNet,eICU,Accuracy,0.694270582571016,,
ElasticNet,eICU,F1,0.659882163899304,,
ElasticNet,eICU,MCC,0.487200697557311,,
KNN,Development nested OOF,AUROC,0.842417628836947,0.831920229436491,0.853115742339733
KNN,Development nested OOF,AUPRC,0.710464438731171,0.68761008613508,0.7320168485942
KNN,Development nested OOF,Calibration_Intercept,0.0980591427172888,,
KNN,Development nested OOF,Calibration_Slope,0.450575054110845,,
KNN,Development nested OOF,Brier,0.147795206983224,0.141983272067123,0.153540352873723
KNN,Development nested OOF,ECE,0.0310412071783071,,
KNN,Development nested OOF,MCE,0.0600717058841646,,
KNN,Development nested OOF,Sensitivity,0.863253012048193,,
KNN,Development nested OOF,Specificity,0.658124471979724,,
KNN,Development nested OOF,PPV,0.541367585946354,,
KNN,Development nested OOF,NPV,0.911466458658346,,
KNN,Development nested OOF,Accuracy,0.723469583573211,,
KNN,Development nested OOF,F1,0.665428372416996,,
KNN,Development nested OOF,MCC,0.485898626112674,,
KNN,MIMIC-III,AUROC,0.804145668143064,0.777989367986833,0.830108174795432
KNN,MIMIC-III,AUPRC,0.679814165996394,0.632434578982029,0.731389972452487
KNN,MIMIC-III,Calibration_Intercept,0.144967046337413,,
KNN,MIMIC-III,Calibration_Slope,0.228101197367608,,
KNN,MIMIC-III,Brier,0.162861289158013,0.149673935225199,0.176663035388457
KNN,MIMIC-III,ECE,0.0383172587150677,,
KNN,MIMIC-III,MCE,0.0720971985018727,,
KNN,MIMIC-III,Sensitivity,0.836411609498681,,
KNN,MIMIC-III,Specificity,0.615681233933162,,
KNN,MIMIC-III,PPV,0.51461038961039,,
KNN,MIMIC-III,NPV,0.88539741219963,,
KNN,MIMIC-III,Accuracy,0.687986171132239,,
KNN,MIMIC-III,F1,0.637185929648241,,
KNN,MIMIC-III,MCC,0.42525364726856,,
KNN,MIMIC-IV temporal,AUROC,0.802429210694544,0.779326430403719,0.827359937582867
KNN,MIMIC-IV temporal,AUPRC,0.677705666755832,0.631885504944835,0.721619827916217
KNN,MIMIC-IV temporal,Calibration_Intercept,-0.11601965851963,,
KNN,MIMIC-IV temporal,Calibration_Slope,0.405248777036162,,
KNN,MIMIC-IV temporal,Brier,0.165715752697283,0.154160471415399,0.177173236514523
KNN,MIMIC-IV temporal,ECE,0.0472335607192254,,
KNN,MIMIC-IV temporal,MCE,0.190928270042194,,
KNN,MIMIC-IV temporal,Sensitivity,0.872773536895674,,
KNN,MIMIC-IV temporal,Specificity,0.550492610837438,,
KNN,MIMIC-IV temporal,PPV,0.484463276836158,,
KNN,MIMIC-IV temporal,NPV,0.899396378269618,,
KNN,MIMIC-IV temporal,Accuracy,0.655601659751037,,
KNN,MIMIC-IV temporal,F1,0.623069936421435,,
KNN,MIMIC-IV temporal,MCC,0.403081626332413,,
KNN,NWICU,AUROC,0.80525515160812,0.765604491245315,0.842083704958465
KNN,NWICU,AUPRC,0.620383417432302,0.543176211372144,0.693138942757749
KNN,NWICU,Calibration_Intercept,-0.596918019451729,,
KNN,NWICU,Calibration_Slope,0.471892923464751,,
KNN,NWICU,Brier,0.154207822499723,0.138762946351187,0.169868315565956
KNN,NWICU,ECE,0.0946436297451898,,
KNN,NWICU,MCE,0.233333333333333,,
KNN,NWICU,Sensitivity,0.890243902439024,,
KNN,NWICU,Specificity,0.49895178197065,,
KNN,NWICU,PPV,0.379220779220779,,
KNN,NWICU,NPV,0.9296875,,
KNN,NWICU,Accuracy,0.599063962558502,,
KNN,NWICU,F1,0.531876138433515,,
KNN,NWICU,MCC,0.346735878084668,,
KNN,eICU,AUROC,0.83391768781677,0.816523621857344,0.853235344052119
KNN,eICU,AUPRC,0.681497222208011,0.641991908839123,0.721160467530034
KNN,eICU,Calibration_Intercept,-0.442779024754774,,
KNN,eICU,Calibration_Slope,0.34983802334236,,
KNN,eICU,Brier,0.156238274648456,0.146441348365698,0.1650361264912
KNN,eICU,ECE,0.0666424013801958,,
KNN,eICU,MCE,0.157407407407407,,
KNN,eICU,Sensitivity,0.93030303030303,,
KNN,eICU,Specificity,0.504587155963303,,
KNN,eICU,PPV,0.466565349544073,,
KNN,eICU,NPV,0.939553219448095,,
KNN,eICU,Accuracy,0.639865190178142,,
KNN,eICU,F1,0.621457489878543,,
KNN,eICU,MCC,0.420258230276601,,
RandomForest,Development nested OOF,AUROC,0.867638506716248,0.856267397791703,0.877621107608116
RandomForest,Development nested OOF,AUPRC,0.757115641055279,0.73578738235276,0.778200831087687
RandomForest,Development nested OOF,Calibration_Intercept,-0.0105504607237929,,
RandomForest,Development nested OOF,Calibration_Slope,1.27652433784989,,
RandomForest,Development nested OOF,Brier,0.136176742595069,0.131410512135938,0.141313238818183
RandomForest,Development nested OOF,ECE,0.0350991913877653,,
RandomForest,Development nested OOF,MCE,0.0671008407364033,,
RandomForest,Development nested OOF,Sensitivity,0.78855421686747,,
RandomForest,Development nested OOF,Specificity,0.774148127288088,,
RandomForest,Development nested OOF,PPV,0.620085267645666,,
RandomForest,Development nested OOF,NPV,0.886774193548387,,
RandomForest,Development nested OOF,Accuracy,0.778737286509307,,
RandomForest,Development nested OOF,F1,0.694245558207372,,
RandomForest,Development nested OOF,MCC,0.534051502171201,,
RandomForest,MIMIC-III,AUROC,0.834759989418779,0.809312546295127,0.858638900449012
RandomForest,MIMIC-III,AUPRC,0.720977423844923,0.668568372195092,0.77089863509898
RandomForest,MIMIC-III,Calibration_Intercept,0.0450407936432308,,
RandomForest,MIMIC-III,Calibration_Slope,1.08679999356707,,
