Cohort,Feature,MeanAbsSHAP,MeanSHAP,Rank
MIMIC-IV temporal,SOFA,0.135517808599067,0.0148046944694854,1
MIMIC-IV temporal,Plt_S,0.11549263326834,0.0102662084532236,2
MIMIC-IV temporal,MAP,0.0561789575586407,-0.0198685336248008,3
MIMIC-IV temporal,INR_S,0.0462701356073299,0.0125978476561299,4
MIMIC-IV temporal,Cre,0.0389728393080538,0.00729257354278575,5
MIMIC-IV temporal,SOFA_S,0.0328803504867807,-0.00425211315622291,6
MIMIC-IV temporal,Na,0.0248912538435375,-0.00138607798289934,7
MIMIC-IV temporal,TBil,0.0205542096717558,0.00560511084954819,8
MIMIC-IV temporal,Temperature,0.0143416118267474,0.00105672043407531,9
MIMIC-IV temporal,GI_Infection,0.00994040906083793,0.00148164876722733,10
MIMIC-III,SOFA,0.134956489044313,-0.0302555891066911,1
MIMIC-III,Plt_S,0.112127340207723,-0.000667680397886709,2
MIMIC-III,MAP,0.0510488580512593,0.00226116731524603,3
MIMIC-III,INR_S,0.0506848546061401,0.00159307958247193,4
MIMIC-III,Cre,0.0345156440750957,-0.00455876037221346,5
MIMIC-III,TBil,0.0243973018096848,-0.00336003330888164,6
MIMIC-III,SOFA_S,0.0238517717763007,0.00467985675614908,7
MIMIC-III,Na,0.021750038962262,-0.0050499215420812,8
MIMIC-III,Temperature,0.0160378774993455,-0.00307678920943104,9
MIMIC-III,GI_Infection,0.0093789174855528,0.000192657743364561,10
eICU,SOFA,0.151087116157669,0.0553370251098645,1
eICU,Plt_S,0.122591187943518,-0.00277732158911377,2
eICU,MAP,0.0624610192745529,0.0378043598771578,3
eICU,INR_S,0.0582852842948158,-0.000496800831866273,4
eICU,Cre,0.0384145569641311,0.0157911293818007,5
eICU,SOFA_S,0.0299433722071417,0.000217250948661733,6
eICU,Na,0.02301808357332,-0.000486824293064999,7
eICU,TBil,0.0222769672926159,0.000915466479721702,8
eICU,Temperature,0.0153985431136246,-0.00148537873984379,9
eICU,GI_Infection,0.00598699869180978,-0.00402696284809392,10
NWICU,Plt_S,0.11290836299243,0.0216891789321504,1
NWICU,SOFA,0.0979761985873606,0.0382335003167867,2
NWICU,INR_S,0.0826156252456738,-0.0378112894058778,3
NWICU,MAP,0.0510435082125207,-0.0203749196120565,4
NWICU,Cre,0.0374404361353606,0.00432753581024647,5
NWICU,SOFA_S,0.026868152630979,0.00226592870337753,6
NWICU,Na,0.0247957563201679,-0.004175797463444,7
NWICU,TBil,0.0218783085738343,0.00185386802645157,8
NWICU,Temperature,0.0146998230609899,-0.00150901445816009,9
NWICU,GI_Infection,0.00616317524142122,-0.00507215793170759,10
