Original_Name,Unified_Name
stay_id,stay_id
class,Class
admission_era,Admission_Era
age,Age
gender,Gender
race,Race
icu_type,ICU_Type
sofa,SOFA
oasis,OASIS
charlson,Charlson
icd2_hypertension,Hypertension
icd2_diabetes,Diabetes
icd2_copd,COPD
icd2_hf,HF
icd2_stroke,Stroke
icd_malignancy,Malignancy
lung_infection,Lung_Infection
gi_infection,GI_Infection
genito_urinary_infection,GU_Infection
other_infection,Other_Infection
vs_24h_map_min,MAP
vs_24h_heart_rate_max,Heart_Rate
vs_24h_resp_rate_max,Resp_Rate
vs_24h_temp_max,Temperature
lab_in_icu_hemoglobin_first,Hb
lab_in_icu_wbc_first,WBC
lab_in_icu_platelet_first,Plt
lab_in_icu_creatinine_first,Cre
lab_in_icu_ast_first,AST
lab_in_icu_tbil_first,TBil
lab_in_icu_na_first,Na
lab_in_icu_k_first,K
lab_in_icu_ca_first,Ca
lab_in_icu_cl_first,Cl
baseline_score_plt_sic,Plt_S
baseline_score_inr_sic,INR_S
baseline_sofa_sic_points,SOFA_S
day28_los,Day28_LOS
day28_outcome,Day28_Outcome
